,Update title,Update type,Created date,Audience,Impressions,Clicks,Click through rate (CTR),Likes,Comments,Shares,Engagement rate,Content Type
10,"FestMan Global Financial Inclusion Data Challenge Finalists

📢 Thanks to all the Professionals who joined our December Power BI Challenge.

In this Challenge, Data hackers were tasked to analyze financial inclusion survey responses organized by World Bank across 144 countries. The dataset contains financial inclusion indicators such as account ownership, payments, saving, credit, and financial resilience.

This data is the most challenging and the messiest data we encouraged in our 2021 Data challenge. And guess what 🤔 - they hacked the data. We've received amazing submissions and new entries.

👏👏👏 Great work and congratulations to all the data hackers:

Mina Saad
Dinesh Kumar Mani
Santhanalakshmi Ponnurasan
Papri Banerjee
Andrew Odiniya
Gliceria W.
Federico Pastor
Utkarsh Biranje
Ekta Chandak,MBA
Michael Ohene Boampong
Allwyn Thomas
Chandra Karuppasamy
Isaac Newton Bortey


Who starts the year with a new badge🥇?  

Best wishes to everyone who participated. The WINNER will be announced tomorrow.
#festmandatahack #powerbi #dashboards",Organic,01/02/2022,All followers,3646,2704,0.7416346669197083,45,7,1,0.7561711668968201,Text
11,We wish you a happy and prosperous new year. May the year 2022 open a new chapter in your life with life-changing opportunities.,Organic,01/01/2022,All followers,1648,11,0.006674757227301598,34,3,4,0.031553398817777634,Video
12,"We're hiring! Join our network of Tech Professionals who are supporting and connecting today’s youth to the digital future.

We are looking for tech professionals with 3+ work experience as Data Scientists, Data Analysts, and UX Designers to join our Team as Instructors and Mentors to support our mission to bridge the digital skills gap in Africa.

This role is remote and part-time so if you are passionate about tech and ready to support 1000+ students to begin their career in tech, then fill our application form here: festman.io/instructor


#thefutureisdigital #futureofwork # #datascientists #uxdesigners #dataanalyst",Organic,12/26/2021,All followers,1248,34,0.027243589982390404,18,2,6,0.048076923936605453,Article
13,"We wish you a happy holiday and a prosperous and healthy 2022!

We want to use this opportunity to thank all our Learners, Instructors, Partners, and Resource persons for making 2021 an awesome year for all of us at FestMan™ Learning Hub.


Our Data School Instructors:
Robert Amanor-boadu
Thomas Festus Cudjoe, We're hiring
Franklin Koomson Adjei
Seidu Tahiru

Our Finance school instructors:
George E. A Anang, FMVA®, MPhil
Emmanuel Egyam, CFA, FMVA®
Alexander Dankyi Asare
Gordon Jnr Appiah

UX Design Instructor:
Hope Adoli

Our Resources persons:
Paul Aninakwah  ACMA,CGMA ACMA,CGMA
Frank Kommey , FCCA
Michael Olafusi
Joseph Edward Mensah ACIM
Naa Lamle Lamptey
Jeremy Quainoo
Opeyemi Fabiyi
Mary Ndukwe



And to all of our followers, Data challenge participants, and the entire Data Community.",Organic,12/24/2021,All followers,2118,22,0.010387158021330833,44,6,3,0.035410765558481216,Image
14,"Kickstart your Career in Data Science and analytics

Do you want to start a career in Data Science and Analytics?

Join our Online Data Analytics Incubator Program and begin that journey.

This program is designed for those with little or no knowledge on Microsoft Excel.

You will be trained by Microsoft Certified Trainers and professionals with Industry experience in Data Science and Analytics.

You will learn in-demand skills such as:

• Data Querying and analytics with SQL.
• Data analysis and visualization with Microsoft Excel.
• Dashboard design and reporting with Microsoft Excel


Register here: bit.ly/dataincubator22 

1st Cohort starts Jan 01.

Call or WhatsApp 0546997591 for all inquiries.",Organic,12/22/2021,All followers,1651,76,0.04603270813822746,28,3,3,0.06662628799676895,Document
15,"Did you miss our live session on Getting started with Google sheets?

You can watch the recorded video on our YouTube channel :

https://lnkd.in/eAAgambn


This webinar provided a high level overview of some of the awesome features of Google sheets including smart fill, PivotTables, dynamic arrays, and charts and graphs.

We also covered some of sharing and collaboration capabilities you can leverage to work with your team.

#dataanalytics #googlesheets #google 

",Organic,12/20/2021,All followers,710,8,0.011267605237662792,10,0,1,0.026760563254356384,Video
16,"FestMan Financial Inclusion Power BI Challenge 

📢 Join our December Power BI Challenge - You still have the opportunity to join the financial Inclusion  Data challenge.

In this challenge, you will play the role of a Data Analytics Manager for FestManPay, a fintech company based in Ghana.

You have been tasked to analyze financial inclusion survey responses organized by World Bank across 144 countries. The dataset contains financial inclusion indicators such as account ownership, payments, saving, credit, and financial resilience.

This dataset is the most challenging dataset to feature in our Monthly Data challenge but this has not stopped the Power BI Community from diving in to flex their Data wrangling and visualization skills.


So far, we have received amazing entries from these professionals. Great work 💪

Mina Saad
Dinesh Kumar Mani
Santhanalakshmi Ponnurasan
Papri Banerjee
Andrew Odiniya
Gliceria W.


To participate, download the datasets from here: bit.ly/festmanchallenge

#powerbi #dashboards #powerbidesktop",Organic,12/19/2021,All followers,3405,2595,0.7621145248413086,53,6,3,0.7803230285644531,Document
17,"50 Excel keyboard shortcuts you can use everyday to save time and increase your productivity.

Which of these shortcuts do you use everyday?

Share with us in the comment.


 #productivity #excel #microsoftexcel",Organic,12/16/2021,All followers,2764,265,0.09587554633617401,39,6,4,0.11360347270965576,Document
18,"🕺Free event | Getting started with Google Sheet

Learn how to analyze and visualize Data using Google Sheets.

Details:
Date : 18th Dec
Mode : Live Instructor-Led
Time : 4PM - 5PM
🔖FREE

Register for Free▶️
 https://lnkd.in/gdXemaXs

 #data #google #dataanalytics ",Organic,12/13/2021,All followers,1151,30,0.02606429159641266,25,2,9,0.05734144151210785,Article
19,"📍This weekend | Getting started with Data Analytics Webinar.

According to a report by Forrester  and Tableau, Data skills have risen in importance over the past 5 years and the trend isn't likely to stop anytime soon.

Data skills have become critical in multiple fields and organisational roles. 

Nearly everyone from HR and Marketing to sales and customer support needs to have a solid foundation in Data analytics and visualization to succeed in the modern workplace.

Our Lead Trainer, Thomas Festus Cudjoe, We're hiring is inviting you to a free introductory session on Data analytics. 

This program perfect for students, graduates and professionals who want to transition into Data Science and Analytics.

Register for free today at bit.ly/festmanevents 

 #dataanalytics #datascience ",Organic,12/07/2021,All followers,2341,119,0.050832975655794144,42,8,12,0.07731738686561584,Document
20,"Combine Data from multiple Excel workbooks in a folder with Power Query.

Do you find yourself copying and pasting data from multiple Excel workbooks to consolidate them for reporting?

You can combine all the files together and automate the process using Power Query.

https://lnkd.in/e9SWkPzE

 #data #excel #powerbi ",Organic,12/04/2021,All followers,1178,39,0.033106960356235504,14,0,0,0.04499151185154915,Video
21,"🕺🕺🕺 FestMan Financial Inclusion Data Challenge

We are super excited to launch our November Power BI Data.

In this challenge, you will play the role of a Data Analytics Manager for FestManPay, a fintech company based in Ghana.

You have been tasked to analyze financial inclusion survey responses organized by World Bank across 144 countries. The dataset contains financial inclusion indicators such as account ownership, payments, saving, credit, and financial resilience.

You are required to clean and transform the data, analyze it and visualize your insights to develop a one-page dashboard.

You will learn how to analyze survey data whiles undertaking this challenge.

🚀Kindly share and invite your connections to participate in this challenge.

What are you waiting for? Join the challenge today by visiting https://lnkd.in/einSCf9t.

🥇Earn a digital badge to validate your Power BI skills.

#dataanalytics #powerbi #dashboards",Organic,11/22/2021,All followers,2764,231,0.08357452601194382,56,3,6,0.10709117352962494,Article
22,"🏆 FestMan Power BI Data Challenge Winners 🏅

We are super excited to announce the winner of the Global Skills Power BI Data Challenge.

The winner of the October Edition of our Power BI Data challenge is 🥇Shruti Bhagi 🥇.

👏👏👏Congratulations ​Shruti Bhagi.

​
🕺The runners up are:

Mayur Pawar
Arif Zainurrohman
Federico Pastor
Joel Tshikunda

👏👏👏 Congratulations to all the participants.

The November edition will kickstart on Monday.

Follow ​FestMan™ Learning Hub and stay updated.

#powerbidesktop  #festmandatahack #dashboards",Organic,11/18/2021,All followers,7166,6726,0.9385989308357239,73,19,3,0.9518559575080872,Document
23,"Congratulations to all participants.

#festmandatahack",Organic,11/16/2021,All followers,1085,656,0.6046082973480225,17,0,0,0.6202765107154846,Reshare
24,"🕺🕺🕺Celebrating our 1000+ Learners on FestMan Learning Hub(hub.festman.io).
 
 We launched our cutting-edge LMS in May 2021. Currently, over 1000 Professionals are utilizing our platform to sharpen their digital skills.
 
You will find premium courses on Data Science with Python, Financial and Data analytics with Power BI, Dashboard Design with Excel and Power BI, etc.
 
We appreciate all our learners for making us part of their learning journey.

We cannot forget all our instructors who have been part of this amazing journey. 

George E. A Anang, FMVA®, MPhil
Robert Amanor-boadu
Emmanuel Egyam, CFA, FMVA®
Alexander Dankyi Asare
Gordon Jnr Appiah
Thomas Festus Cudjoe

Try some of our courses today at https://hub.festman.io with our 50% Black Friday Discounts.

We appreciate all our learners for making us part of their learning journey.

#digitalskills  #dataanalytics #datascience #python",Organic,11/13/2021,All followers,1889,45,0.023822128772735596,26,3,3,0.04076230898499489,Image
25,"What do you want to learn in our next Power Platform webinar?

Join the poll and let hear from you. You can also suggest a topic in the comment.",Organic,11/09/2021,All followers,1037,50,0.04821600764989853,3,0,0,0.05110896751284599,Reshare
26,"FestMan Global Skills Data Challenge Finalists

📢 Join our October Power BI Challenge - You still have the opportunity to join the Global Skills Data challenge.

In this challenge, you will play the role of a Data Analytics Manager for FestMan Talent Hub, which is a global platform for hiring tech talents.

You will be analyzing a dataset that has been curated from the Global Skills report released by Coursera recently, which encompasses the world's most trending skills benchmarked across 100 countries to identify the trending skills in each region and country.

Develop a single-page dashboard and share it with your community on LinkedIn to join the challenge. The challenge closes on 📅13th November 2021.

To participate, download the datasets from here: https://lnkd.in/evnxKkFc

So far, we have received amazing entries from these professionals:

Arif Zainurrohman
Divya Jain
Federico Pastor
Prince Chukwuemeka
Mohamed Achraf Khemakhem
Gliceria W.
SOUNAK DE
Richa Kumari
Varun Nayyar
Meera Hari
Godswill Ojumeaka
Farai Mangwende, FMVA®
Mahima Gandhi
Tejeswar rao
FEMI F. AYODELE
Joel Tshikunda
Ebru Cömert Erdil
Surashmi Ghosh
Mounika V
David Amoako Agyemang
Papri Banerjee
Abdullahi Mohammed Ahmed
Soumik Chandra
Nishant Dhir


#powerbidesktop #dashboards",Organic,11/06/2021,All followers,4083,5351,1.3105559349060059,52,3,2,1.3245162963867188,Document
27,"FestMan Brand Ambassadors Program 2022

We are growing our Team here at FestMan™ Learning Hub  and we are recruiting Brand Ambassadors to join our Team.

This role is open to only undergraduates at various tertiary Institutions in Ghana.

As a Brand Ambassador, you will get the opportunity to learn premium digital skills and develop your Leadership skills whiles working on exciting projects together with our team in the tech space.

What do you need to Join the Brand Ambassador Program?

This is an ideal opportunity for you if you are :
• passionate about technology and leadership
• smart and result-driven
• active on social media platforms such as LinkedIn, Facebook, and Twitter.
• willing to learn new skills and take up new challenges


Join us today if you are a student at any of the Tertiary Institutions in Ghana.

Appy now: bit.ly/festmanBA

#ghana #digitalskills #festman",Organic,11/01/2021,All followers,1571,47,0.029917249456048012,22,1,1,0.045194145292043686,Document
28,"Learning Power BI?

Sometimes the fastest way to get answers from your data is to ask a question using natural language.

The Q & A visual which is an AI-powered visual lets you explore your data in your own words.

In this video, you will learn how you can leverage the power of Q & A visual to create amazing dashboard without creating the visuals manually with drag and drop. We will build all the visuals automatically with Q and A visual.


You just ask the questions in plain English and you get the insights in a form of a visual which you will use to create your dashboard.

Please do not forget to like👍 and subscribe📍 to our YouTube channel:https://lnkd.in/ezqfNA97


 #powerbi   #dashboards #ai",Organic,10/22/2021,All followers,1938,126,0.06501547992229462,18,0,2,0.07533539831638336,Video
29,"🚀Free virtual event : Introduction to Microsoft Power platform 


We are happy to invite you to our free virtual webinar on the introduction to Microsoft Power Platform.

Microsoft Power Platform is empowering businesses and professionals to develop business applications, automate repetitive tasks and create amazing reports with low or no code.

In this free event, you will learn how to :

📍Create amazing reports and dashboards with Microsoft Power BI

📍 Develop Business Apps using Microsoft PowerApps (No code)

📍Automate mundane Business processes without code using Microsoft Power Automate.


Join us this 📌Saturday and acquire 21st century digital skills needed to succeed in this digital and fast changing world of work.

🚀Sign up today : bit.ly/festmanhub

#powerbidesktop #powerplatform #powerautomate",Organic,10/21/2021,All followers,1814,72,0.039691291749477386,16,0,1,0.04906284436583519,Document
30,"🕺🕺🕺 FestMan Global skills Challenge

We are supper excited to launch our October Power BI Data .

In this challenge, you will play the role of a Data analytics Manager for FestMan Talent Hub, is a global platform for hiring tech talents.

You have been tasked to analyze a dataset that has been curated from the Global Skills report released by Coursera recently, which encompasses the world's most trending skills benchmarked across 100 countries to identify the trending skills in each region and country.

What are you waiting for? Join the challenge today by visiting https://lnkd.in/einSCf9t.

Earn a digital badge to validate your Power BI skills. 

#dataanalytics #powerbi #dashboards",Organic,10/19/2021,All followers,3221,324,0.10058987885713577,55,2,1,0.11859671026468277,Image
31,"🏆 FestMan Power BI Data Challenge Winners 🏅

We are supper excited to announce the winner for the Hotel Booking Power BI Data Challenge.

The winner of the September Edition of our Power BI Data challenge is 🥇Santhanalakshmi Ponnurasan🥇.

Congratulations ​Santhanalakshmi Ponnurasan.
​
🕺The runners up are:

​Farai Mangwende, FMVA®
​Marcelo Cotinda
​Omkar Pethakar
​Harsh Malhotra​​​
​
We are grateful to everyone who participated in this competition.

The October edition will kickstart on Monday.

Follow ​FestMan™ Learning Hub​ and stay updated.
#powerbidesktop #dashboards #powerbi",Organic,10/17/2021,All followers,7936,10104,1.2731854915618896,88,18,2,1.2867943048477173,Document
32,"🎬Free Dashboard Design Webinar.

Watch the recording on our YouTube channel and subscribe to our page.",Organic,10/17/2021,All followers,1155,107,0.09264069050550461,8,4,0,0.10303030163049698,Reshare
33,"🏨🏩 FINALISTS: FestMan Hotel Booking Challenge

Looking at the amazing entries we've received so far, it hasn't be easy picking our Top 10 entries. 

After much considerations, we are happy to announce our top 10 entries:

Farai Mangwende, FMVA®
Moses Otu
Santhanalakshmi Ponnurasan
Marcelo Cotinda
Papri Banerjee
Omkar Pethakar
Bright Selorm Avedzi
Harsh Malhotra
Debapriya Saha
Vipul Goel

🎉🎉🎉Congratulations to the top 10 finalists and all participants. 

Who takes over from Rakesh Bedge?

We will be announcing the 🥇WINNER🥇 soon so stay tuned to FestMan™ Learning Hub.

#dashboards #powerbidesktop #dataanalytics",Organic,10/16/2021,All followers,7316,6153,0.8410333395004272,89,29,5,0.8578458428382874,Document
34,"🕺🕺🕺 Finalists: FestMan Hotel🏨 Booking Data challenge. 

We've seen more and amazing entries in our Hotel Data challenge.

Gradually, our Data community is growing and we appreciate everyone who participated in this and our past Power BI challenges. 

We'll be announcing the top 10 finalists soon and the winner on Saturday, 16th October.

Best wishes to all participants. 

#dashboards # #powerbi #powerbidesktop",Organic,10/15/2021,All followers,3647,6054,1.6599944829940796,53,2,0,1.6750754117965698,Document
35,Please do not miss this program,Organic,10/10/2021,All followers,57,0,0.0,1,0,0,0.017543859779834747,Reshare
36,Please do not miss this.,Organic,10/10/2021,All followers,93,3,0.032258063554763794,1,0,0,0.04301075264811516,Reshare
37,"Meet Festus - The Founder and Lead Trainer at FestMan™ Learning Hub. Festus is a Microsoft Certified Trainer and a Microsoft Certified Data analyst Associate.
 
He wants you to join him and learn how you can take your Power BI Dashboard to the next level.
 
Register and join him here: https://lnkd.in/eCP_g2uv
 
Time: 4pm GMT
Date: Saturday 16th October, 2021

You can check your time zone here: https://lnkd.in/ew6aUHkJ

 #powerbi #dashboards #powerbidesktop",Organic,10/10/2021,All followers,2629,172,0.0654241144657135,40,1,8,0.08406238257884979,Article
38,"We are excited to launch a new self-paced online course on Applied Excel for Finance.

In this self-paced online course, you will learn the applications of Microsoft Excel in Banking, investment banking, equity research, corporate finance, financial planning and analysis (FP&A).

This course contains a number of real-world applications of Microsoft Excel for Finance including Investment analysis, Financial Modeling, Scenario management, Break-even analysis, Loan amortization and sensitivity analysis with data tables.

In this course, you can learn how to:____
👉 Use advanced Excel functions such as SUMIFS, COUNTIFS, VLOOKUP and XLOOKUP
👉Apply time value of money in making investment decisions Use advanced Excel financial functions such as PMT, FV ,PV, NPER, PPMT, IPMT etc.
👉Develop dynamic and interactive loan Amortization schedule
👉Appraise investment projects using NPV, IRR, XNPV and XIRR
👉Perform what-if analysis using Goal Seek, Scenario Manager, Data validation and Data tables

What you will get from this Course____

🎬 5.4 hours + of pre-recorded videos
🏅Digital certificate upon successful completion of the course and the final capstone.
🕺Bonus course: Advanced Excel Charts and graphs
📍Lifetime access to the videos and resources


The good news is that you can enroll in this course with GHC 199 instead of the original price of GHC 500.

Enroll today 👉 https://lnkd.in/eyrKyKi7 and enjoy this huge early bird discount.

For enquiry, call or WhatsApp 0541239290",Organic,10/06/2021,All followers,1861,39,0.020956475287675858,17,0,1,0.030628694221377373,Video
39,"The challenge is still on⚡. Build a single page dashboard in Microsoft Power BI and earn a digital badge to validate your data visualization skills.

Submit your dashboard today and join the challenge. The challenge closes on 📅13th October 2021.

So far, we have received amazing entries from these professionals:
Moses Otu
Sourav Bhattacharyya
Ritesh Mathur
Bright Selorm Avedzi
Arif Zainurrohman
Chandra Karuppasamy
Surashmi Ghosh
Mahima Gandhi
Dostam Ahmed
Kyaw Htin Khaung Soe
Aditya Ahuja
Punam Deka
Pawandeep Guguloth
David Amoako Agyemang
Nelson B  (MCIB))
Otu Jacob
Harsh Malhotra
Andrew Odiniya
Chukwuemeka Azubuike

We wish all participants the best in this challenge.
#powerbi #powerbidesktop #dashboards",Organic,10/03/2021,All followers,4115,5170,1.2563791275024414,42,11,2,1.269744873046875,Document
40,"Learning Python for Data Science and analytics?

One of the most preferred library for data wrangling and manipulation in Python is Pandas.

This cheat sheet provides a quick guide through the functionalities that Pandas can offer you as a Data analyst or Data Scientist when you get into more advanced data wrangling with Python. 

#python #datasciencewithpython #datascienceenthusiast",Organic,09/29/2021,All followers,2402,507,0.211074098944664,32,0,2,0.22522898018360138,Document
41,"📅 Happening this Saturday 02.10.2021

We will be running a live instructor-led session on Power Query for Microsoft Excel users.

Would you be able to join us live and take your Excel skills to the next level?

Given the rapid shifts in skill requirements and the number of entirely new tasks and roles that are emerging, professionals who will learn how to automate their mundane and repetitive complex tasks will create a significant opportunity to learn and take on more strategic roles at the work place.

Most professionals use Microsoft Excel for analysis and reporting.
Learning how to automate your mundane and repetitive tasks and reporting with Power Query will open the possibility to take on more strategic roles within your company.

Power Query is the most important data analysis tool since PivotTables. With Power Query, you'll be able to clean, reshape, and combine your data with ease, no matter where it comes from.

Do you use these Excel functions repeatedly for reporting: VLOOKUP, INDEX AND MATCH, IFS, SUMIFS, COUNTIFS, LEFT, RIGHT, MID, CONCATENATE, UPPER, LOWER, DATE, TEXT, TRANSPOSE, TEXTJOIN, SUBSTITUTE, FIND and REPLACE?

In this course, you will learn how to replace these functions with Power Query and automate your reports without code. You will perform these calculations once and deploy them multiple times to save time for high-value tasks.

We call this course "" Excel without functions""😍.

Join today 👉 https://lnkd.in/eXe-8eKM

#microsoftexcel #microsoftpowerbi #powerquery",Organic,09/28/2021,All followers,1258,41,0.03259141370654106,17,3,2,0.05007949098944664,Image
42,"🤔Have you submitted your Dashboard for the Power BI Data challenge?

🕺There is still time to join the challenge. You could be our next badge winner🏅.

Join the challenge today.

 #powerbidesktop #data #dashboards ",Organic,09/23/2021,All followers,112,10,0.0892857164144516,4,0,0,0.125,Reshare
43,"🕺Good Data Analysts are in HIGH DEMAND. FestMan™ Data School is the place to become one.


🏅Become a Data Analyst with excellent skills in Modern Excel, Microsoft Power BI, SQL and Python.

This Bootcamp is designed to equip you with excellent data visualization and analytics skills that will help you generate insights from Data to support Strategic business decisions.

_____________________

👉You will be trained by Microsoft Certified Data Analysts and Trainers and Trainers with Industry experience in Analytics.
_____________________

Register today for a 40% discount.

👉bit.ly/bibootcamp

 #powerbi #python #sql",Organic,09/21/2021,All followers,1816,84,0.046255506575107574,19,0,1,0.05726872384548187,Document
44,"Data skills are indispensable in today's modern workplace. 

With more and more data being generated everyday, businesses are looking for professionals who can analyze and visualize these data to help them make data-driven decisions.

If you believe the future is data-driven and you want to future - proof your career, then join our 12 weeks Online Bootcamp.

Our 12 weeks Bootcamp provides a unique blend of hands-on project based learning from Expert instructors and self paced online courses which helps you learn faster and at your convenience on any device.

Our Instructors will mentor and support you on every step of the way.

Begin your Data analytics journey today.

Register today for a 40% Discount.

👉bit.ly/bibootcamp

 #dataanalytics #powerbidesktop #pythonprogramming #sql",Organic,09/16/2021,All followers,2771,99,0.03572717308998108,21,2,4,0.0454709492623806,Document
45,FestMan Power BI Data Challenge,Organic,09/14/2021,All followers,95,4,0.04210526496171951,12,0,0,0.16842105984687805,reshare
